,geohash8,decision_date,decision_type
285,dhtwz2zm,2023-01-01,repair
286,dhtwxrbu,2023-01-01,repair
287,dhtwz28m,2022-10-01,repair
288,dhtwz28m,2023-03-01,repair
289,dhtwz2zj,2023-09-01,repair
290,dhtwz0xc,2023-03-01,repair
291,dhtwz30b,2022-10-01,repair
292,dhtwz30b,2023-02-01,repair
293,dhtwz30b,2023-02-01,repair
294,dhtz0fcz,2022-09-01,repair
295,dhtwz2yr,2022-12-01,repair
296,dhtwz2yr,2023-03-01,repair
297,dhtwz2yr,2023-05-01,repair
298,dhtwz2yr,2023-05-01,repair
299,dhtwz2yr,2023-09-01,repair
300,dhtwz294,2022-11-01,repair
301,dhtwz294,2023-03-01,repair
302,dhtwz2bt,2022-07-01,repair
303,dhtwz2bt,2023-02-01,repair
304,dhtwz3n6,2022-10-01,repair
305,dhtwz3n6,2022-03-01,repair
306,dhtwz28f,2022-12-01,repair
307,dhtwz3p0,2023-03-01,repair
308,dhtwz2cx,2023-02-01,repair
309,dhtwz28q,2022-10-01,repair
310,dhtwz0xu,2023-07-01,repair
311,dhtwz29s,2023-07-01,repair
312,dhtwz3p6,2023-01-01,repair
313,dhtwz2bb,2022-11-01,repair
314,dhtwz3p4,2021-07-01,repair
315,dhtwz3p4,2021-08-01,repair
316,dhtwz3p4,2021-04-01,repair
317,dhtwz3p4,2021-04-01,repair
318,dhtwz2cd,2022-12-01,repair
319,dhtwz2ch,2022-10-01,repair
320,dhtwz2yz,2023-09-01,repair
321,dhtwz302,2022-11-01,repair
322,dhtwz299,2022-11-01,repair
323,dhtwz2cf,2022-10-01,repair
324,dhtwzkm6,2023-02-01,repair
325,dhtwzkm6,2023-03-01,repair
326,dhtwzkm6,2023-03-01,repair
327,dhtwzkm6,2023-06-01,repair
328,dhtwzkm6,2023-06-01,repair
329,dhtwzkm6,2023-06-01,repair
330,dhtwzkm6,2023-09-01,repair
331,dhtwz2sv,2022-12-01,repair
332,dhtwz28m,2022-11-01,repair
333,dhtwz2cz,2022-12-01,repair
334,dhtwz29s,2022-11-01,repair
335,dhtwz29z,2022-12-01,repair
336,dhtwz0zz,2022-12-01,repair
337,dhtwz0zz,2023-02-01,repair
338,dhtwz2bx,2023-03-01,repair
339,dhtwz3p7,2022-10-01,repair
340,dhtwz2z9,2023-03-01,repair
341,dhtwz884,2022-11-01,repair
342,dhtwz884,2022-12-01,repair
343,dhtwz884,2022-08-01,repair
344,dhtwz28w,2022-11-01,repair
345,dhtwz2zx,2022-10-01,repair
346,dhtwz2zr,2022-10-01,repair
347,dhtwz902,2023-04-01,repair
348,dhtwz902,2023-06-01,repair
349,dhtwz0xu,2023-01-01,repair
350,dhtwz3p7,2023-01-01,repair
351,dhtwz3p7,2022-12-01,repair
352,dhtwz29c,2023-04-01,repair
353,dhtwz55p,2022-12-01,repair
354,dhtwz2zx,2023-03-01,repair
355,dhtwz2zr,2023-09-01,repair
356,dhtwz576,2022-12-01,repair
357,dhtwz576,2023-03-01,repair
358,dhtwz576,2023-03-01,repair
359,dhtwz576,2023-03-01,repair
360,dhtwz576,2023-03-01,repair
361,dhtwz576,2023-04-01,repair
362,dhtwz3pd,2022-10-01,repair
363,dhtwz31d,2023-02-01,repair
364,dhtwz314,2022-12-01,repair
365,dhtwz318,2023-07-01,repair
366,dhtwz2ch,2023-01-01,repair
367,dhtwz2ce,2022-11-01,repair
368,dhtwz284,2023-03-01,repair
369,dhtwz2z3,2022-10-01,repair
370,dhtwz2z3,2023-03-01,repair
371,dhtwz28g,2022-10-01,repair
372,dhtwz28u,2022-10-01,repair
373,dhtwz22p,2022-11-01,repair
374,dhtwz22r,2023-02-01,repair
375,dhtwz29c,2022-12-01,repair
376,dhtwz28t,2022-10-01,repair
377,dhtwz29u,2022-07-01,repair
378,dhtwz29u,2022-12-01,repair
379,dhtwz28w,2022-10-01,repair
380,dhtwz2yx,2023-01-01,repair
381,dhtwz30d,2023-01-01,repair
382,dhtwz22p,2023-02-01,repair
383,dhtwz2yv,2022-10-01,repair
384,dhtwz28h,2022-10-01,repair
385,dhtwz88h,2023-03-01,repair
386,dhtwz3pe,2022-10-01,repair
387,dhtwz2cr,2022-11-01,repair
388,dhtwz2ym,2023-04-01,repair
389,dhtwz0zv,2023-01-01,repair
390,dhtwz2t1,2023-05-01,repair
391,dhtwz2s2,2022-12-01,repair
392,dhtwz2s2,2023-05-01,repair
393,dhtwz2br,2022-10-01,repair
394,dhtwz2yx,2023-01-01,repair
395,dhtwz2cb,2023-01-01,repair
396,dhtwz3p8,2023-01-01,repair
397,dhtwz2zz,2022-10-01,repair
398,dhtwz4p6,2023-04-01,repair
399,dhtwz4p6,2023-07-01,repair
400,dhtwz8bp,2023-03-01,repair
401,dhtwz2y3,2022-11-01,repair
402,dhtwz28b,2023-07-01,repair
403,dhtwz28b,2023-08-01,repair
404,dhtwz2bu,2023-04-01,repair
405,dhtwz28w,2022-12-01,repair
406,dhtwz28t,2022-10-01,repair
407,dhtwz28t,2023-01-01,repair
408,dhtwz2yx,2023-01-01,repair
409,dhtwy810,2022-12-01,repair
410,dhtz06up,2022-10-01,repair
411,dhtz06up,2023-01-01,repair
412,dhtwz2y2,2022-11-01,repair
413,dhtwz3pf,2023-06-01,repair
414,dhtwz577,2023-03-01,repair
415,dhtwzqxb,2023-05-01,repair
416,dhtwzqxb,2023-08-01,repair
417,dhtwz304,2022-12-01,repair
418,dhtwz3p5,2023-01-01,repair
419,dhtwz2zm,2023-08-01,repair
420,dhtz0g1d,2022-08-01,repair
421,dhtz0g1d,2022-12-01,repair
422,dhtwz2zp,2022-11-01,repair
423,dhtwz2zp,2023-01-01,repair
424,dhtwz28b,2022-12-01,repair
425,dhtwz0zv,2022-11-01,repair
426,dhtwz2wv,2022-11-01,repair
427,dhtwz2wv,2022-12-01,repair
428,dhtwz2wv,2023-03-01,repair
429,dhtwz2yr,2023-01-01,repair
430,dhtwy80b,2022-12-01,repair
431,dhtwz28t,2023-07-01,repair
432,dhtwz8b4,2023-07-01,repair
433,dhtwz29k,2022-11-01,repair
434,dhtwz2b0,2023-02-01,repair
435,dhtwz8bp,2022-10-01,repair
436,dhtwz8bp,2023-03-01,repair
437,dhtyb21x,2022-12-01,repair
438,dhtwz3p4,2023-01-01,repair
439,dhtwz29f,2023-03-01,repair
440,dhtwz29b,2022-12-01,repair
441,dhtwwxcj,2023-04-01,repair
442,dhtwz2cp,2022-11-01,repair
443,dhtwz2vv,2022-12-01,repair
444,dhtwz2vv,2022-12-01,repair
445,dhtwz2vv,2023-04-01,repair
446,dhtwz57y,2023-03-01,repair
447,dhtwz57y,2023-09-01,repair
448,dhtwz290,2023-05-01,repair
449,dhtwz2sc,2023-02-01,repair
450,dhtwz2sc,2023-02-01,repair
451,dhtz07u3,2023-07-01,repair
452,dhtwz2bx,2023-02-01,repair
453,dhtwz2zp,2022-07-01,repair
454,dhtwz2yc,2022-11-01,repair
455,dhtwz2yc,2023-01-01,repair
456,dhtwz298,2023-02-01,repair
457,dhtwz298,2023-04-01,repair
458,dhtwz3ne,2022-12-01,repair
459,dhtwz3ne,2023-01-01,repair
460,dhtyb5jh,2023-01-01,repair
461,dhtyb5jh,2023-08-01,repair
462,dhtwz2wq,2023-03-01,repair
463,dhtwz2wq,2023-04-01,repair
464,dhtwz2yc,2023-02-01,repair
465,dhtwz312,2022-11-01,repair
466,dhtwz4cf,2021-08-01,repair
467,dhtwz4cf,2023-06-01,repair
468,dhtwz4cf,2023-06-01,repair
469,dhtwz290,2022-11-01,repair
470,dhtybhe8,2022-11-01,repair
471,dhtwz3pe,2023-02-01,repair
472,dhtwz290,2023-03-01,repair
473,dhtwz3p5,2023-01-01,repair
474,dhtwzvw7,2022-07-01,repair
475,dhtwz2c6,2023-01-01,repair
476,dhtwz2ed,2023-01-01,repair
477,dhtwz2ed,2023-03-01,repair
478,dhtwz2ed,2023-04-01,repair
479,dhtwz2ed,2023-09-01,repair
480,dhtwz2ed,2023-09-01,repair
481,dhtwz29h,2022-12-01,repair
482,dhtwy9wq,2022-12-01,repair
483,dhtwy9wq,2023-03-01,repair
484,dhtwz23z,2022-12-01,repair
485,dhtwz2e1,2023-06-01,repair
486,dhtwz2e1,2023-07-01,repair
487,dhtwz292,2022-12-01,repair
488,dhtwz298,2023-03-01,repair
489,dhtwwxcj,2022-11-01,repair
490,dhtwz291,2022-11-01,repair
491,dhtwz291,2023-01-01,repair
492,dhtwz2ed,2022-11-01,repair
493,dhtwz29h,2023-01-01,repair
494,dhtwz2z6,2022-12-01,repair
495,dhtwz2z6,2022-12-01,repair
496,dhtwz29h,2022-10-01,repair
497,dhtwz29h,2022-11-01,repair
498,dhtwz924,2022-07-01,repair
499,dhtwz924,2022-11-01,repair
500,dhtwz924,2023-04-01,repair
501,dhtwz5ef,2022-11-01,repair
502,dhtwz5ef,2022-12-01,repair
