Occupancy,DamageLevel,DamageType,FloodDepth,assessment_level,water_location,Latitude,Longitude,BldgValue,EstLoss,owner_renter,insurance_yesno
single_family,Affected,Non-Flood,,Affected,,26.723237578000067,-81.7116388332648,74541.0,11181.15,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72682399100006,-81.82159119773172,147463.0,22119.45,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.624191917000076,-81.76438049868926,300505.0,45075.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72884862500007,-81.80850018759517,302129.0,45319.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.633046019000062,-81.66200088769355,180305.0,27045.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.62410770500003,-81.76393617396904,203111.0,30466.649999999998,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.72284757400007,-81.71052711774712,52489.0,13122.25,renter,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72857175100006,-81.80857365264289,315003.0,47250.45,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.684316742000078,-81.56763165265467,174231.0,26134.649999999998,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.642114270000036,-81.56636725501554,315963.0,47394.45,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.68488262900007,-81.6651190561329,172996.0,25949.4,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68486759600006,-81.66602442754092,137630.0,34407.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.728438050000022,-81.80799277962112,161794.0,24269.1,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.594635164000067,-81.61540992167565,81041.0,12156.15,unknown,Unknown
single_family,Minor,Flood,,Minor,living_area,26.723840929000062,-81.71167555983891,65966.0,16491.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.624424201000068,-81.76412654478862,281004.0,42150.6,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.631491804000063,-81.66244544432308,131792.0,19768.8,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.546113452000043,-81.56961967103011,108863.0,16329.449999999999,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68968912300005,-81.80314377184607,136957.0,34239.25,unknown,Unknown
single_family,Minor,Flood,,Minor,living_area,26.722795725000026,-81.71007980300335,54557.0,13639.25,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.72826871700005,-81.80865130710936,163751.0,24562.649999999998,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.628293331000066,-81.66190280896569,199481.0,29922.149999999998,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.722953971000038,-81.71008058589362,55153.0,13788.25,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.54480639800005,-81.56931253229719,140145.0,21021.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.72670048200007,-81.82040966869148,376019.0,94004.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.728187941000044,-81.80807815834567,216496.0,32474.399999999998,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.72301409100004,-81.71046553915231,63866.0,15966.5,unknown,Unknown
manufactured_home,Major,Non-Flood,,Major,,26.719878726000047,-81.60172230400615,41948.0,20974.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.684271934000037,-81.56827122977388,119571.0,29892.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.542551033000052,-81.56998785514033,123951.0,30987.75,unknown,Unknown
single_family,Inaccessible,Inaccessible,,,,26.705692001000045,-81.7589299357148,140914.0,0.0,,
single_family,Affected,Non-Flood,,Affected,,26.623680329000024,-81.7626602463003,190006.0,28500.899999999998,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.723103182000045,-81.71006558490653,84479.0,21119.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727229476000048,-81.80782584887994,263461.0,39519.15,unknown,Unknown
single_family,Minor,Flood,8.0,Minor,living_area,26.72345959100005,-81.71034285920034,75702.0,18925.5,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.727486959000032,-81.82046304624427,271022.0,67755.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727241630000037,-81.80724191077037,127563.0,19134.45,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.63681918900005,-81.56765149397424,206788.0,31018.199999999997,owner,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.723178059000077,-81.71050347220219,59729.0,14932.25,unknown,Unknown
single_family,Major,Non-Flood,,Major,,26.684024246000035,-81.6653744908162,169544.0,84772.0,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.640556136000043,-81.65825115169979,139229.0,20884.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.62320842200006,-81.7620649773147,288449.0,43267.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727330622000068,-81.82152517306073,148434.0,22265.1,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.727386550000062,-81.80696525316355,197555.0,29633.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.721092447000046,-81.6057011800542,177705.0,26655.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.75839842000005,-81.85729337638406,31018.0,7754.5,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.723283707000064,-81.71009620804885,75702.0,18925.5,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.623503223000057,-81.76218290158329,260821.0,65205.25,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.544149740000023,-81.57173624417823,124079.0,31019.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.623078435000025,-81.76250869570691,156554.0,23483.1,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,living_area,26.72369388100003,-81.71037240909924,79391.0,19847.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.543440673000077,-81.57164158692554,110969.0,16645.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.720116603000065,-81.60671646490651,135453.0,20317.95,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.592990075000046,-81.6177830480122,126839.0,19025.85,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.683927664000066,-81.66615327257972,126730.0,31682.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.635526668000068,-81.65626782517225,162925.0,24438.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68313073400003,-81.66592998153833,,,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.72740979300005,-81.82276099355632,173005.0,43251.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.622667439000054,-81.76247512337737,169631.0,25444.649999999998,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.63610163000004,-81.56670544390809,61845.0,9276.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.63043305800005,-81.65684009959587,190948.0,28642.2,unknown,Unknown
single_family,Minor,Flood,12.0,Minor,living_area,26.723346227000036,-81.71054312575228,57236.0,14309.0,owner,No
single_family,Affected,Non-Flood,,Affected,,26.62253413600007,-81.76178700953702,276171.0,41425.65,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.630117922000068,-81.65651604949313,,,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68399008600005,-81.6672026408333,139420.0,34855.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.545005428000024,-81.57175795949001,76726.0,11508.9,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.553151553000077,-81.67518305287807,245976.0,61494.0,unknown,Unknown
single_family,Minor,Flood,12.0,Minor,living_area,26.72381542000005,-81.7101677401895,45100.0,11275.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.684167914000056,-81.57856462596848,75970.0,18992.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.724105614000052,-81.82468563879758,151617.0,22742.55,unknown,Unknown
single_family,Minor,Flood,16.0,Minor,living_area,26.724107316000072,-81.71029991596345,64060.0,16015.0,unknown,Unknown
multi_family,Affected,Non-Flood,,Affected,,26.622278735000066,-81.75929538081914,111093.0,16663.95,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68398942300007,-81.6671945533264,139420.0,34855.0,unknown,Unknown
single_family,Minor,Flood,16.0,Minor,living_area,26.72429632500007,-81.71057809089116,102396.0,25599.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.723583122000036,-81.82427015693288,225600.0,56400.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.547044991000064,-81.57201565586021,135731.0,33932.75,unknown,Unknown
single_family,Minor,Flood,12.0,Minor,living_area,26.72388865000005,-81.71062021353552,49025.0,12256.25,unknown,Unknown
multi_family,Affected,Non-Flood,,Affected,,26.62264345400007,-81.75933886513164,120515.0,18077.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.63295394100004,-81.5665676917725,,,unknown,Unknown
single_family,Minor,Flood,6.0,Minor,"living_area,non_essential",26.723153490000072,-81.75632280548922,397356.0,99339.0,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.641737329000023,-81.65482977426183,75546.0,11331.9,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.63952355600003,-81.67638529681388,162671.0,24400.649999999998,unknown,Unknown
multi_family,Affected,Non-Flood,,Affected,,26.624156990000074,-81.7593615464834,128199.0,19229.85,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.710980452000058,-81.61932754400917,212591.0,31888.649999999998,owner,Yes
multi_family,Affected,Non-Flood,,Affected,,26.62476866800006,-81.75947475031693,112008.0,16801.2,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.54342101900005,-81.57355684128467,154918.0,23237.7,unknown,Unknown
single_family,Minor,Flood,12.0,Minor,living_area,26.723868992000064,-81.71079166370534,45995.0,11498.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.544775191000042,-81.57373206662044,149047.0,37261.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.683437336000054,-81.6624255286831,170101.0,25515.149999999998,unknown,Unknown
multi_family,Affected,Non-Flood,,Affected,,26.625310677000073,-81.75943955096433,120515.0,18077.25,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68375334500007,-81.59278938620947,139008.0,34752.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.681787731000043,-81.66451111043742,133908.0,20086.2,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.629961112000046,-81.56758355155145,193881.0,29082.149999999998,unknown,Unknown
single_family,Minor,Flood,18.0,Minor,living_area,26.724232246000042,-81.71098208437031,87221.0,21805.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.599179391000064,-81.58574536101266,203742.0,30561.3,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.626796126000045,-81.76095147270038,186512.0,27976.8,unknown,Unknown
single_family,Major,Non-Flood,,Major,,26.724566158000073,-81.82276361535199,199520.0,99760.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.713748434000024,-81.62196875406069,183716.0,27557.399999999998,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.630103745000042,-81.65476207347996,156542.0,23481.3,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.754910046000077,-81.85719511545588,77564.0,11634.6,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68171709300003,-81.664731764723,182787.0,45696.75,unknown,Unknown
single_family,Minor,Flood,18.0,Minor,living_area,26.724149166000075,-81.71124824760372,116771.0,29192.75,owner,Yes
single_family,Affected,Non-Flood,,Affected,,26.72331987900003,-81.71229580081823,176899.0,26534.85,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.628692697000076,-81.65248285991676,403305.0,60495.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.631096064000076,-81.56905108556217,170780.0,25617.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.68325016800003,-81.59547826282828,164985.0,41246.25,unknown,Unknown
