OBJECTID,Project Name,Status,Area,Type,Record Number,GlobalID,Description 1,Description 2,Construction Value ($)
423,ITEC TRACT ""D"" STORAGE,Complete,Gateway/Airport,Commercial,DOS2022-00054,ae352c60-f183-442a-8944-a4fb07bb5100,"Approved for the single-phase construction of infrastructure to support one maximum 48,026-SF single-story building and one maximum 32,000-SF single-story building for a retail use (construction equipment rental facility) on an approximate 5.88-acre site with indirect access to Airport Haul Rd.",,
424,High Reach,Complete,Gateway/Airport,Commercial,DOS2022-00055,fd6e7465-1718-4630-98d1-e3a2e1426a23,"Approved for the single-phase construction of infrastructure to support a maximum 20,000-SF single-story single-tenant commercial building for a retail use (construction equipment rental facility) on a 5.88-acre site with direct access to Innovation Lane",,
427,Fabritech-Indoor Storage ,Development Order,Iona/McGregor,Commercial,DOS2024-00049,499b2b3f-d791-456c-a028-92ebe5291e14,"Project consists of constructing a 3,600 sf indoor storage facility, ramp, sidewalks, parking spaces, access drive and storm water system improvements.",,
428,Resurgence Brewery & Rock Gym,Construction,South Fort Myers,Mixed Use,DOS2023-00100,323058b2-a005-4765-815d-7eb568a45511,"To develop two (2) commercial buildings with all related infastructure; Building #1 for Resurgence brewery consisting of 11,354 sf ft.  and building #2 for  Rock Gym consisting of 23,718 sq. ft. ",,
430,Lehigh Acres Fire Station 107,Complete,Lehigh Acres,Other,DOS2022-00062,21957d1e-bdbb-4d74-b2f6-edb46d28e05b,"Approved for the single-phase construction of infrastructure to support a maximum 8,650-SF single-story commercial building for fire station use on a 1.03-acre site with direct access to Leonard Boulevard S.",,
431,Beth Stacey Storage Facility,Development Order,Lehigh Acres,Commercial,DOS2022-00064,e045d83a-68d1-419b-b805-248e1c71cf5c,"Approved for the one-phase construction of infrastructure to support one maximum 100,480-SF three-story multi-tenant commercial building for a mini-warehouse use on an approximate 3.58-acre site with direct access to Beth Stacey Blvd",DOS2023-00135 This application is for the approval of Building 2 of the Beth Stacey Self Storage Facility approved under DOS2022-00064. The proposed improvements include one (1) additional mini-storage warehouse building.,
432,Formosa Lot 68,Construction,Gateway/Airport,Commercial,DOS2022-00068,d424719b-2a5a-4d8c-99e4-c1be3950f51a,"Proposed construction of 1 - 10,050sf building; 2 -30,000sf buildings; and 1 - 34,170sf Building with associated parking, landscaping, and utilities.",,
434,Lee Blvd Rick Johnson,Construction,Lehigh Acres,Commercial,DOS2022-00071,956da147-81d8-4fbe-885a-56476436c178,"Develop an 8-bay auto center that will consist of a 7,040 SF building. Along with the required off-street parking, landscaping, lighting and storm water management design.",,
435,Backyard Social,Complete,Gateway/Airport,Commercial,DOS2022-00074,5244f560-6cfe-4366-ae2b-18c6ef3114e3,"Construction consists of a +/- 8,500 S.F. covered outdoor restaurant with associated parking and infrastructure.",,
437,Gateway North Haven,Development Order,Gateway/Airport,Residential,DOS2022-00077,a217c707-5d13-43bb-8770-f2610fea33ab,"Request to approve a proposed residential development that consists of 98 units within 14 buildings along with site pool/clubhouse and associated parking, access improvements and utility-drainage infrastructure.",,
438,9710 Commerce Center Offie Complex,Development Order,Iona/McGregor,Commercial,DOS2022-00078,43681833-db68-4ca5-9ab0-92fbe61593b0,"The applicant is proposing the construction of five (5) one-story 3,100 square foot office buildings for a total gross floor area of 15,500 square feet (15,000 SF medical office and 500 SF general office).",,
439,Zaxby's Shoppes at Westgate,Complete,Lehigh Acres,Commercial,DOS2022-00079,7947f83f-e283-49c7-b5b1-e553f2e12b40,"Proposed construction of an 1,800 sf building and a 3,000 sf building with associated site Infrastructure, parking, utilities, and landscaping.",,
440,Capital Grille,Complete,South Fort Myers,Commercial,DOS2022-00162,19e0aaa8-091c-4999-95af-67d6bbc9e3b0,Demolition of the closed Mimi's Restaurant and the replacement with a new Capital Grille Restaurant along with changes to the immediate area around the building pad area to accommodate this redevelopment.,,
441,Storage Units Ft Myers,Complete,Gateway/Airport,Commercial,DOS2021-00054,b891ba2c-0d68-40ca-9fa3-688e0ec588ce,"Approved for the construction of infrastructure and the single-phase construction of infrastructure to support of 105,993 GFA of mini warehouse (ITE LUC 151 Mini Warehouse) use in two buildings as follows: Building A – three story 104,192 square feet; Building B – single story 1800 square foot, on a 2.39-acre site with indirect access to Alico Road via Airport Haul Road and Innovation Way.",,
442,MIVO North Fort Myers Apartments,Development Order,North Fort Myers,Residential,DOS2022-00141,648a2efd-c28e-4aae-a16d-6d57f9f6949d,Approved for the single-phase construction of infrastructure to support 284 mid-rise multi-family dwelling units in four 4-story commercial buildings [Buildings #1-2: 76 units/building; Buildings #3-4: 66 units/building] on a 19.41-acre site with direct access to US 41.,,
443,2910 Lee Blvd Tommy Express,Development Order,Lehigh Acres,Commercial,DOS2022-00088,f387a125-2dda-45e2-b74f-2ae511cc4301,"To demolish the existing self-serve car wash and develop a Tommy Express car wash with associated landscaping, surface parking, storm water infrastructure, and utility infrastructure.",,
444,7-Eleven Daniels & Rickenbacker,Construction,Gateway/Airport,Commercial,DOS2022-00099,1b0d3c98-3207-4d51-bf36-5caf181c0dae,"Approved for the single-phase construction of infrastructure to support a maximum 5,023-SF single-story commercial building for a 16-position fuel/service station with convenience store use and a single-tunnel single story commercial building for an automated car wash use on a 3.64-acre site with direct access to Daniels Parkway and Rickenbacker Parkway.",,
445,Floor & Decor Fort Myers,Complete,Gateway/Airport,Commercial,DOS2022-00101,5b1b0a77-729b-41ed-a04b-4d240e8da394,"To construct a +/- 79,893 sf retail building with associated access drive and parking lot on the 5.40 acres parcel.",,
446,Dalton Subdivision,Development Order,Fort Myers Shores,Residential,DOS2022-00102,3a66c3a8-8bb0-4f5c-b0b4-2ebf5005d874,"Single family residential community of 26 lots with associated parking, drainage, landscaping, and utilities.",,
447,Solena,Development Order,North Fort Myers,Residential,DOS2022-00104,8cf7f550-06ab-4ae4-a783-26a92be77962,"Development of 219 single family residential units and supporting roadway, utility, and surface water management infrastructure.",,
448,3251 NANCY COURT,Development Order,Lehigh Acres,Commercial,DOS2022-00107,f9779847-8960-4f07-89f5-242ba0a8da8a,"To develop this parcel into a one-story building with 1,500 square feet for a restaurant and 1,800 square feet for retail, with associated landscaping, surface parking, storm water detention, and utility infrastructure.",,
449,Wendy's on Alico Road,Construction,Gateway/Airport,Commercial,DOS2022-00085,f278a801-69bc-4b37-b607-ad395c2ef4b1,"New Wendy’s Restaurant 2144 SF, with proposed asphalt pavement, associated sidewalks, greenspace, and stormwater infrastructure. Development is within a lot at the 3 oaks market plans. ",COM2023-01708,
451,San Carlos Take 5,Complete,Iona/McGregor,Commercial,DOS2021-00180,4ba6c1cd-48e0-44c6-a723-8d7fc16aaca7,"Approved for the one-phase construction of infrastructure to support one maximum 3,456-SF one-story, three bay single-tenant commercial building for a quick lubrication vehicle shop use on an approximate 0.83-acre site with direct access to Majestic Palms Blvd.",,
452,Take 5 Pondella,Permitting,North Fort Myers,Commercial,DOS2021-00187,7b9579cc-36f4-4b0e-90da-87575594d262,Redevelopment of existing C-store and gas station to a 3 bay quick oil change facility. Limited removal of existing asphalt and building demolition to make way for new Take 5 building. Existing accesses to Cleveland and Pondella will remain as is. Adding water quality retention vs existing dirext stormwater runoff. Making use of existing water meter and connection and existing septic.,,
453,Hancock Bridge Apartments,Construction,North Fort Myers,Residential,DOS2023-00037,5a0b11ca-4fd1-4c34-8596-b446e99a5288,"Approved for the single-phase construction of infrastructure to support 96 low-rise multi-family dwelling units in 4 three-story buildings [Buildings 1,2,3, & 8: 24 units/building] and 224 mid-rise multi-family attached dwelling units in 4 four-story buildings [Building 4: 80 units/building and Buildings 5, 6, & 7: 48 units/building] on an approximate 14.59-acre site with direct access to US 41, Hancock Bridge Pkwy, & Pondella Rd. ",,
454,The Pondella Road Self Storage,Planning/Zoning,North Fort Myers,Commercial,SEZ2022-00010,1ee20693-29da-4b8c-bcff-c6642ddf2aec,Request for Special Exception in the Commercial (C-1A) and Commercial (C-2) Zoning Districts within the North Fort Myers Commercial Corridor to allow the uses of Mini-Warehouse and Public Warehouse pursuant to Lee County Land Development Code Section 33-1596.,,
456,NFM Theatre RV and Boat Storage Facility,Complete,North Fort Myers,Commercial,DOS2021-00045,a1a715ff-46c5-46c2-83ab-c53b658eab32,"Single-phase construction of infrastructure to support a 359,446 SF outdoor storage use on a 22.25-acre site with direct access to Business 41, related site grading, and other improvements including constructing/installing with the required permits.",,
